Pedro Uribe,2016-0252,1
Renzo Olivo,2016-0252,1
Jorge Montero,2016-0252,1
Ricardo Hocevar,2016-0252,1
Adam El Mihdawy,2016-0252,1
Michael Quintero,2016-0252,1
Nicolas Kicker,2016-0252,1
Lauren Davis,2016-0300,6
Monica Niculescu,2016-0300,5
Tereza Smitkova,2016-0300,4
Petra Kvitova,2016-0300,4
Kristyna Pliskova,2016-0300,4
Carina Witthoeft,2016-0300,3
Kiki Bertens,2016-0300,3
Denisa Allertova,2016-0300,2
Tamara Korpatsch,2016-0300,2
Patricia Maria Tig,2016-0300,2
Tara Moore,2016-0300,2
Andrea Petkovic,2016-0300,2
Caroline Wozniacki,2016-0300,2
Johanna Larsson,2016-0300,2
Caitlin Whoriskey,2016-0300,2
Elise Mertens,2016-0300,1
Julia Boserup,2016-0300,1
Myrtille Georges,2016-0300,1
Isabella Shinikova,2016-0300,1
Varvara Lepchenko,2016-0300,1
Sabine Lisicki,2016-0300,1
Francesca Schiavone,2016-0300,1
Dalila Jakupovic,2016-0300,1
Daniela Hantuchova,2016-0300,1
Mona Barthel,2016-0300,1
Michaela Honcova,2016-0300,1
Kathinka Von Deichmann,2016-0300,1
Anna Karolina Schmiedlova,2016-0300,1
Caroline Garcia,2016-0300,1
Roberto Bautista Agut,2016-0301,5
Jack Sock,2016-0301,4
Thiemo De Bakker,2016-0301,3
Robin Haase,2016-0301,3
Matthew Barton,2016-0301,3
David Ferrer,2016-0301,2
Fabio Fognini,2016-0301,2
Benjamin Becker,2016-0301,2
Lukas Rosol,2016-0301,2
Jo-Wilfried Tsonga,2016-0301,2
Donald Young,2016-0301,1
Duck Hee Lee,2016-0301,1
Benoit Paire,2016-0301,1
Vasek Pospisil,2016-0301,1
Cameron Norrie,2016-0301,1
Mate Pavic,2016-0301,1
Sam Querrey,2016-0301,1
John Isner,2016-0301,1
Philipp Kohlschreiber,2016-0301,1
Denis Kudla,2016-0301,1
Kevin Anderson,2016-0301,1
Philipp Kohlschreiber,2016-0308,4
Alexander Zverev,2016-0308,3
Florian Mayer,2016-0308,3
Fabio Fognini,2016-0308,3
Igor Sijsling,2016-0308,3
Dominic Thiem,2016-0308,3
Juan Martin del Potro,2016-0308,2
Ivan Dodig,2016-0308,2
Jozef Kovalik,2016-0308,2
Matthias Bachinger,2016-0308,2
Cedrik Marcel Stebe,2016-0308,2
Tobias Kamke,2016-0308,1
Vincent Millot,2016-0308,1
Mikhail Kukushkin,2016-0308,1
Thomaz Bellucci,2016-0308,1
Lukas Rosol,2016-0308,1
David Goffin,2016-0308,1
Santiago Giraldo,2016-0308,1
Victor Estrella,2016-0308,1
Jan Lennard Struff,2016-0308,1
Nils Langer,2016-0308,1
Andy Murray,2016-0311,5
Milos Raonic,2016-0311,4
Adrian Mannarino,2016-0311,3
Donald Young,2016-0311,3
Marin Cilic,2016-0311,3
Bernard Tomic,2016-0311,3
Roberto Bautista Agut,2016-0311,2
Kyle Edmund,2016-0311,2
Vasek Pospisil,2016-0311,2
Kevin Anderson,2016-0311,2
Jiri Vesely,2016-0311,2
Steve Johnson,2016-0311,2
Gilles Muller,2016-0311,2
Frances Tiafoe,2016-0311,1
Janko Tipsarevic,2016-0311,1
Aljaz Bedene,2016-0311,1
Sam Groth,2016-0311,1
Paul Henri Mathieu,2016-0311,1
John Isner,2016-0311,1
Fernando Verdasco,2016-0311,1
Tobias Kamke,2016-0311,1
Robin Haase,2016-0314,4
Feliciano Lopez,2016-0314,4
Jan Mertl,2016-0314,3
Tristan Lamasine,2016-0314,3
Thiago Monteiro,2016-0314,3
Dustin Brown,2016-0314,3
Paul Henri Mathieu,2016-0314,3
Yann Marti,2016-0314,2
Elias Ymer,2016-0314,2
Mikhail Youzhny,2016-0314,2
Adrien Bossel,2016-0314,1
Mirza Basic,2016-0314,1
Horacio Zeballos,2016-0314,1
Henri Laaksonen,2016-0314,1
Albert Ramos,2016-0314,1
Agustin Velotti,2016-0314,1
Konstantin Kravchuk,2016-0314,1
Matteo Trevisan,2016-0314,1
Tomas Lipovsek Puches,2016-0314,1
Ivo Karlovic,2016-0315,4
Donald Young,2016-0315,3
Gilles Muller,2016-0315,3
Frank Dancevic,2016-0315,3
Brian Baker,2016-0315,3
Michal Przysiezny,2016-0315,2
Adrian Mannarino,2016-0315,2
Dudi Sela,2016-0315,2
Marco Chiudinelli,2016-0315,2
Alex Kuznetsov,2016-0315,2
Marcos Baghdatis,2016-0315,2
Matthew Barton,2016-0315,1
John Patrick Smith,2016-0315,1
Rajeev Ram,2016-0315,1
Amir Weintraub,2016-0315,1
Yuichi Sugita,2016-0315,1
Stefan Kozlov,2016-0315,1
Sam Groth,2016-0315,1
Daniel Cox,2016-0315,1
Steve Johnson,2016-0315,1
Victor Estrella,2016-0315,1
Brydan Klein,2016-0315,1
Fernando Verdasco,2016-0316,4
Albert Ramos,2016-0316,4
Calvin Hemery,2016-0316,3
Gastao Elias,2016-0316,3
David Ferrer,2016-0316,2
Henri Laaksonen,2016-0316,2
Tristan Lamasine,2016-0316,2
Dustin Brown,2016-0316,2
Christian Lindell,2016-0316,2
Facundo Bagnis,2016-0316,2
Andrea Arnaboldi,2016-0316,2
Carl Soderlund,2016-0316,1
Joao Sousa,2016-0316,1
Albert Montanes,2016-0316,1
Evgeny Donskoy,2016-0316,1
Andre Ghem,2016-0316,1
Maxim Dubarenco,2016-0316,1
Aljaz Bedene,2016-0316,1
Taro Daniel,2016-0316,1
Roberto Carballes Baena,2016-0316,1
Scott Griekspoor,2016-0316,1
Nikola Cacic,2016-0316,1
Nikoloz Basilashvili,2016-0319,4
Paolo Lorenzi,2016-0319,4
Dusan Lajovic,2016-0319,3
Gerald Melzer,2016-0319,3
Daniel Gimeno Traver,2016-0319,3
Maximo Gonzalez,2016-0319,2
Filippo Volandri,2016-0319,2
Jurgen Melzer,2016-0319,2
Kenny De Schepper,2016-0319,2
Karen Khachanov,2016-0319,2
Jan Lennard Struff,2016-0319,2
Adam Pavlasek,2016-0319,2
Dmitry Popko,2016-0319,1
Igor Sijsling,2016-0319,1
Mischa Zverev,2016-0319,1
Daniel Munoz de la Nava,2016-0319,1
Matteo Donati,2016-0319,1
Roberto Carballes Baena,2016-0319,1
Guido Andreozzi,2016-0319,1
Steven Diez,2016-0319,1
Dominic Thiem,2016-0321,4
Radek Stepanek,2016-0321,4
Florian Mayer,2016-0321,4
Philipp Kohlschreiber,2016-0321,4
Juan Martin del Potro,2016-0321,3
Sergiy Stakhovsky,2016-0321,3
Roger Federer,2016-0321,2
Mikhail Youzhny,2016-0321,2
Fabrice Martin,2016-0321,2
Frank Moser,2016-0321,1
Gilles Simon,2016-0321,1
Jan Lennard Struff,2016-0321,1
James Ward,2016-0321,1
Denis Kudla,2016-0321,1
Yuichi Sugita,2016-0321,1
Taylor Fritz,2016-0321,1
Michael Berrer,2016-0321,1
Sam Groth,2016-0321,1
John Millman,2016-0321,1
Matthias Bachinger,2016-0321,1
Stan Wawrinka,2016-0322,4
Lukas Rosol,2016-0322,3
Marin Cilic,2016-0322,3
Federico Delbonis,2016-0322,2
Guillermo Garcia Lopez,2016-0322,2
Evgeny Donskoy,2016-0322,2
David Ferrer,2016-0322,2
Pablo Carreno Busta,2016-0322,2
Andrey Kuznetsov,2016-0322,2
Andreas Beck,2016-0322,2
Roberto Ortega Olmedo,2016-0322,2
Cristian Garin,2016-0322,2
Steve Johnson,2016-0322,1
Albert Ramos,2016-0322,1
Florian Mayer,2016-0322,1
Denis Istomin,2016-0322,1
Ernests Gulbis,2016-0322,1
Rajeev Ram,2016-0322,1
Yann Marti,2016-0322,1
Johan Nikles,2016-0322,1
Tomislav Brkic,2016-0322,1
Thomaz Bellucci,2016-0322,1
Inigo Cervantes Huegun,2016-0322,1
Marin Cilic,2016-0328,5
Mischa Zverev,2016-0328,5
Kei Nishikori,2016-0328,4
Donald Young,2016-0328,3
Ricardas Berankis,2016-0328,3
Gilles Muller,2016-0328,3
Federico Delbonis,2016-0328,2
Stan Wawrinka,2016-0328,2
Robin Haase,2016-0328,2
Juan Martin del Potro,2016-0328,2
Marcel Granollers,2016-0328,2
Jack Sock,2016-0328,1
Ryan Harrison,2016-0328,1
David Goffin,2016-0328,1
Paolo Lorenzi,2016-0328,1
Adrien Bossel,2016-0328,1
Pablo Carreno Busta,2016-0328,1
Guido Pella,2016-0328,1
Aldin Setkic,2016-0328,1
Stefanos Tsitsipas,2016-0328,1
Florian Mayer,2016-0328,1
Nick Kyrgios,2016-0329,5
David Goffin,2016-0329,4
Gael Monfils,2016-0329,3
James Duckworth,2016-0329,3
Marin Cilic,2016-0329,3
Radek Stepanek,2016-0329,3
Gilles Muller,2016-0329,2
Ryan Harrison,2016-0329,2
Joao Sousa,2016-0329,2
Juan Monaco,2016-0329,2
Go Soeda,2016-0329,2
Ivo Karlovic,2016-0329,2
Matthew Ebden,2016-0329,1
Gilles Simon,2016-0329,1
Jiri Vesely,2016-0329,1
Fernando Verdasco,2016-0329,1
Akira Santillan,2016-0329,1
Janko Tipsarevic,2016-0329,1
Vasek Pospisil,2016-0329,1
Kei Nishikori,2016-0329,1
Marcos Baghdatis,2016-0329,1
Donald Young,2016-0329,1
Andy Murray,2016-0337,5
Jo-Wilfried Tsonga,2016-0337,4
Ivo Karlovic,2016-0337,3
David Ferrer,2016-0337,3
Nikoloz Basilashvili,2016-0337,3
Damir Dzumhur,2016-0337,3
Karen Khachanov,2016-0337,2
Jan Lennard Struff,2016-0337,2
Albert Ramos,2016-0337,2
Benjamin Becker,2016-0337,2
Viktor Troicki,2016-0337,2
John Isner,2016-0337,2
Joao Sousa,2016-0337,1
Adam Pavlasek,2016-0337,1
Gilles Simon,2016-0337,1
Radu Albot,2016-0337,1
Dominic Thiem,2016-0337,1
Feliciano Lopez,2016-0337,1
Jurgen Melzer,2016-0337,1
Yuichi Sugita,2016-0337,1
Sebastian Ofner,2016-0337,1
Philipp Kohlschreiber,2016-0337,1
Lucas Pouille,2016-0341,4
Vincent Millot,2016-0341,3
Nikoloz Basilashvili,2016-0341,3
Peter Gojowczyk,2016-0341,3
Dominic Thiem,2016-0341,3
David Goffin,2016-0341,2
Malek Jaziri,2016-0341,2
Gregoire Barrere,2016-0341,2
Gilles Muller,2016-0341,2
Nicolas Mahut,2016-0341,2
Julien Benneteau,2016-0341,2
Gilles Simon,2016-0341,2
Dustin Brown,2016-0341,1
Thomas Fabbiano,2016-0341,1
Jan Lennard Struff,2016-0341,1
Guillermo Garcia Lopez,2016-0341,1
Constant Lestienne,2016-0341,1
Pierre Hugues Herbert,2016-0341,1
Michael Berrer,2016-0341,1
Illya Marchenko,2016-0341,1
Kenny De Schepper,2016-0341,1
Andy Murray,2016-0352,5
John Isner,2016-0352,5
Jan Lennard Struff,2016-0352,4
Jack Sock,2016-0352,3
Marin Cilic,2016-0352,3
